filename, language, HTML, CSS, JavaScript, JSON, SCSS, XML, Markdown, comment, blank, total
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-buttons\css\buttons.bootstrap4.css, CSS, 0, 190, 0, 0, 0, 0, 0, 0, 6, 196
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-buttons\css\buttons.bootstrap4.min.css, CSS, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-buttons\js\buttons.bootstrap4.js, JavaScript, 0, 0, 55, 0, 0, 0, 0, 6, 8, 69
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-buttons\js\buttons.bootstrap4.min.js, JavaScript, 0, 0, 2, 0, 0, 0, 0, 4, 1, 7
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-buttons\js\buttons.colVis.js, JavaScript, 0, 0, 152, 0, 0, 0, 0, 21, 34, 207
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-buttons\js\buttons.colVis.min.js, JavaScript, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-buttons\js\buttons.flash.js, JavaScript, 0, 0, 1048, 0, 0, 0, 0, 189, 220, 1457
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-buttons\js\buttons.flash.min.js, JavaScript, 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-buttons\js\buttons.html5.js, JavaScript, 0, 0, 1097, 0, 0, 0, 0, 153, 210, 1460
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-buttons\js\buttons.html5.min.js, JavaScript, 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
